1001;ES9121000418450200051332;VACIO;ES7000246912501319658521;250.50;2023-01-05;VACIO;1;1
1002;ES7000246912501319658521;VACIO;ES1720852066623456789011;125.75;2023-01-08;VACIO;1;1
1003;ES1720852066623456789011;VACIO;ES3501826294125974236541;350.00;2023-01-12;VACIO;1;1
1004;ES9121000418450200051332;5412751234567890;VACIO;100.00;2023-01-15;VACIO;1;2
1005;ES7000246912501319658521;4532012345678901;VACIO;75.50;2023-01-18;VACIO;1;2
1006;ES3501826294125974236541;VACIO;ES1000492352082414205416;500.25;2023-01-22;VACIO;1;1
1007;ES1000492352082414205416;VACIO;ES0701822200161951591354;230.80;2023-01-25;VACIO;1;1
1008;ES1720852066623456789011;5582233445566778;VACIO;150.00;2023-01-28;VACIO;1;2
1009;ES0701822200161951591354;VACIO;ES1720852066629876543210;675.45;2023-02-02;VACIO;1;1
1010;ES3501826294125974236541;4916123456789012;VACIO;200.75;2023-02-05;VACIO;1;2
1011;ES1720852066629876543210;VACIO;ES9121000418450200051333;340.20;2023-02-09;VACIO;2;1
1012;ES9121000418450200051333;VACIO;ES7000246912501319658522;425.90;2023-02-12;VACIO;1;1
1013;ES1000492352082414205416;5256789012345678;VACIO;80.25;2023-02-15;VACIO;1;2
1014;ES7000246912501319658522;VACIO;ES1720852066623456789012;560.30;2023-02-18;VACIO;1;1
1015;ES0701822200161951591354;4929123456789012;VACIO;120.50;2023-02-22;VACIO;1;2
1016;ES1720852066623456789012;VACIO;ES3501826294125974236542;680.75;2023-02-25;VACIO;1;1
1017;ES3501826294125974236542;VACIO;ES1000492352082414205417;320.40;2023-03-01;VACIO;1;1
1018;ES1720852066629876543210;5567890123456789;VACIO;90.80;2023-03-04;VACIO;2;2
1019;ES1000492352082414205417;VACIO;ES0701822200161951591355;450.25;2023-03-08;VACIO;1;1
1020;ES9121000418450200051333;4539123456789012;VACIO;175.60;2023-03-11;VACIO;1;2
1021;ES0701822200161951591355;VACIO;ES1720852066629876543211;735.90;2023-03-15;VACIO;1;1
1022;ES1720852066629876543211;VACIO;ES9121000418450200051334;380.25;2023-03-18;VACIO;1;1
1023;ES7000246912501319658522;5144123456789012;VACIO;95.75;2023-03-22;VACIO;1;2
1024;ES9121000418450200051334;VACIO;ES7000246912501319658523;520.40;2023-03-25;VACIO;1;1
1025;ES1720852066623456789012;4916987654321098;VACIO;140.30;2023-03-29;VACIO;1;2
1026;ES7000246912501319658523;VACIO;ES1720852066623456789013;290.85;2023-04-02;VACIO;1;1
1027;ES1720852066623456789013;VACIO;ES3501826294125974236543;410.60;2023-04-05;VACIO;2;1
1028;ES3501826294125974236542;5567891234567890;VACIO;110.25;2023-04-09;VACIO;1;2
1029;ES3501826294125974236543;VACIO;ES1000492352082414205418;580.70;2023-04-12;VACIO;1;1
1030;ES1000492352082414205417;4532987654321098;VACIO;190.45;2023-04-16;VACIO;1;2
1031;ES1000492352082414205418;VACIO;ES0701822200161951591356;340.80;2023-04-19;VACIO;1;1
1032;ES0701822200161951591356;VACIO;ES1720852066629876543212;480.25;2023-04-23;VACIO;1;1
1033;ES0701822200161951591355;5522334455667788;VACIO;130.90;2023-04-26;VACIO;1;2
1034;ES1720852066629876543212;VACIO;ES9121000418450200051335;620.50;2023-04-30;VACIO;1;1
1035;ES1720852066629876543211;4929876543210987;VACIO;210.75;2023-05-03;VACIO;1;2
1036;ES9121000418450200051335;VACIO;ES7000246912501319658524;380.20;2023-05-07;VACIO;1;1
1037;ES7000246912501319658524;VACIO;ES1720852066623456789014;530.45;2023-05-10;VACIO;1;1
1038;ES9121000418450200051334;5367891234567890;VACIO;150.30;2023-05-14;VACIO;1;2
1039;ES1720852066623456789014;VACIO;ES3501826294125974236544;670.80;2023-05-17;VACIO;1;1
1040;ES7000246912501319658523;4485678901234567;VACIO;220.45;2023-05-21;VACIO;1;2
1041;ES3501826294125974236544;VACIO;ES1000492352082414205419;420.35;2023-05-24;VACIO;1;1
1042;ES1000492352082414205419;VACIO;ES0701822200161951591357;560.90;2023-05-28;VACIO;3;1
1043;ES1720852066623456789013;5522345678901234;VACIO;170.25;2023-05-31;VACIO;2;2
1044;ES0701822200161951591357;VACIO;ES1720852066629876543213;320.80;2023-06-04;VACIO;3;1
1045;ES3501826294125974236543;4539876543210987;VACIO;240.50;2023-06-07;VACIO;1;2
1046;ES1720852066629876543213;VACIO;ES9121000418450200051336;680.30;2023-06-11;VACIO;1;1
1047;ES9121000418450200051336;VACIO;ES7000246912501319658525;410.75;2023-06-14;VACIO;1;1
