ES9121000418450200051332,47024.75,4,2020-10-08,5,12345678A
ES7000246912501319658521,44780.99,3,2022-07-23,4,23456789B
ES1720852066623456789011,36174.46,4,2024-01-10,3,34567890C
ES3501826294125974236541,29736.08,1,2020-05-21,2,45678901D
ES1000492352082414205416,2212.15,5,2022-07-18,5,56789012E
ES0701822200161951591354,1000,1,2025-04-03,1,67890123F
ES1720852066629876543210,1000,1,2025-04-03,1,78901234G
ES9121000418450200051333,33841.94,1,2022-07-07,3,67890123F
ES7000246912501319658522,1000,1,2025-04-03,1,90123456I
ES1720852066623456789012,1000,1,2025-04-03,1,01234567J
ES3501826294125974236542,1000,1,2025-04-03,1,12345678A
ES1000492352082414205417,1000,1,2025-04-03,1,23456789B
ES0701822200161951591355,1000,1,2025-04-03,1,34567890C
ES1720852066629876543211,1000,1,2025-04-03,1,45678901D
ES9121000418450200051334,44747.76,1,2022-09-18,1,78901234G
