5260286567784072,10/29,399,8752,3,ES7000246912501319658521
4768438307147337,02/30,365,1132,1,ES1720852066623456789011
6445859834647267,01/30,433,4978,4,ES3501826294125974236541
6555395738718907,02/28,835,1952,5,ES3501826294125974236541
5627043641467055,01/26,263,3640,5,ES1000492352082414205416
4091160734947445,01/28,130,3997,2,ES0701822200161951591354
4849650272356455,06/26,256,7392,2,ES1720852066629876543210
5018466039221685,10/28,408,8875,4,ES9121000418450200051333
6244627134231127,07/30,481,8833,3,ES9121000418450200051333
6100611046760711,02/27,470,6897,1,ES7000246912501319658522
4686539697864089,07/30,675,4999,1,ES1720852066623456789012
5048277357836120,07/28,545,3214,5,ES3501826294125974236542
6293245253186157,10/26,892,2580,4,ES3501826294125974236542
6579841095297800,07/28,620,6826,2,ES1000492352082414205417
6403683676829371,11/29,882,4411,3,ES1000492352082414205417
6376658749395379,09/27,150,8045,3,ES0701822200161951591355
6394643314928495,09/27,460,7003,2,ES1720852066629876543211
5676052110870156,08/26,143,5382,3,ES1720852066629876543211
6688784611965617,07/28,372,8623,5,ES9121000418450200051334
6755766934411937,05/30,802,2570,3,ES7000246912501319658523
6231812669515912,02/26,328,9682,3,ES7000246912501319658523
